p_game,p_k_percent,batting_avg,slg_percent,on_base_percent,p_era,winning?
15,24,0.255,0.454,0.341,5.54,No
30,17.2,0.252,0.434,0.29,4.16,No
38,18.8,0.259,0.446,0.321,4.68,No
31,23.6,0.248,0.436,0.358,4.56,No
5,19,0.34,0.702,0.39,7.25,No
33,28.6,0.203,0.309,0.279,3.34,No
40,20,0.27,0.454,0.342,6.75,No
40,24.4,0.293,0.486,0.378,4.75,No
67,26.3,0.265,0.431,0.368,5.21,No
18,13.1,0.283,0.48,0.348,4.41,No
30,18,0.279,0.497,0.334,5.32,No
46,18.2,0.29,0.402,0.32,3.95,No
22,20,0.285,0.465,0.329,4.08,No
30,18.2,0.288,0.511,0.34,5.79,No
42,19.5,0.244,0.435,0.329,5.29,No
22,21.1,0.282,0.47,0.415,8.8,No
26,18.9,0.232,0.4,0.324,3.2,No
41,25.2,0.269,0.483,0.327,5.06,No
9,18.8,0.336,0.586,0.422,11.27,No
34,25.2,0.202,0.298,0.252,3.24,No
24,14.2,0.276,0.439,0.323,4.22,No
22,29.5,0.224,0.374,0.26,3.55,No
28,18.1,0.265,0.408,0.317,3.37,No
7,11.1,0.29,0.419,0.389,6.35,No
25,16.7,0.248,0.437,0.298,4.67,No
29,28.6,0.286,0.483,0.37,6.43,No
14,16.7,0.291,0.518,0.356,6.26,No
31,20.6,0.234,0.363,0.305,3.71,No
35,20.2,0.256,0.46,0.295,4.27,No
9,19.3,0.286,0.422,0.343,6.57,No
13,25.6,0.257,0.39,0.325,3.42,No
25,30.7,0.188,0.396,0.289,3.9,No
6,25.2,0.32,0.49,0.378,9.26,No
24,19.5,0.221,0.356,0.333,5.79,No
67,20,0.264,0.411,0.328,4.15,No
74,20.8,0.238,0.316,0.351,3.42,No
67,31.7,0.211,0.39,0.324,3.86,No
35,13,0.304,0.494,0.352,4.9,No
6,29.5,0.183,0.303,0.31,3.07,No
66,22.5,0.28,0.431,0.326,4.61,No
28,37.9,0.143,0.184,0.267,1.86,No
71,30.7,0.198,0.403,0.29,3.44,No
14,17.7,0.251,0.412,0.361,4.91,No
36,19.1,0.296,0.481,0.356,4.74,No
14,14.8,0.277,0.462,0.332,4.93,No
16,14.1,0.297,0.537,0.363,8.06,No
30,21.4,0.318,0.491,0.384,6.68,No
67,23.4,0.226,0.345,0.325,3.65,No
34,22.5,0.323,0.488,0.369,5.21,No
31,19,0.311,0.476,0.397,4.01,No
35,23.7,0.254,0.449,0.353,6.3,No
32,26.2,0.217,0.317,0.352,5.63,No
30,33.5,0.223,0.372,0.267,3.23,No
36,24.1,0.259,0.42,0.346,4.04,No
32,25.5,0.253,0.402,0.293,3.75,No
26,27,0.225,0.385,0.301,4.19,No
68,21.9,0.235,0.408,0.317,3.9,No
18,26.1,0.255,0.467,0.309,4.52,No
14,19.6,0.291,0.492,0.347,5.04,No
10,16.3,0.302,0.5,0.382,4.39,No
24,20.6,0.243,0.429,0.304,4.21,No
13,22.8,0.177,0.315,0.31,4,No
54,28.3,0.213,0.289,0.304,2.82,No
27,16.8,0.241,0.343,0.328,5.59,No
27,17.7,0.242,0.373,0.312,3.46,No
16,14.3,0.29,0.505,0.335,5.35,No
24,21.8,0.251,0.489,0.304,4.8,No
62,25.3,0.23,0.408,0.287,4.21,No
69,29.2,0.182,0.277,0.299,2.57,No
52,22.7,0.294,0.389,0.343,4.66,No
26,14.7,0.292,0.475,0.362,5.81,No
72,25.6,0.228,0.398,0.337,4.43,No
15,19.9,0.255,0.397,0.318,3.89,No
26,14.5,0.268,0.407,0.321,5.09,No
68,23,0.217,0.287,0.289,2.81,No
17,18.1,0.283,0.491,0.345,6.41,No
30,26.9,0.256,0.487,0.317,5.83,No
29,22.3,0.265,0.405,0.32,3.82,No
9,16.7,0.253,0.406,0.301,4.23,No
25,22.5,0.233,0.444,0.369,6.38,No
26,29.5,0.217,0.401,0.326,2.91,No
31,14.9,0.28,0.44,0.324,5.4,No
65,30.8,0.164,0.272,0.242,2.79,No
28,21.2,0.263,0.505,0.381,7.23,No
63,31.6,0.22,0.369,0.307,3.22,No
32,13.2,0.29,0.472,0.354,5.28,No
57,21.5,0.292,0.448,0.356,3.4,No
25,27.3,0.252,0.389,0.308,3.43,No
33,21.6,0.242,0.362,0.29,3.02,No
21,24.9,0.215,0.356,0.279,3.66,No
26,19.8,0.278,0.485,0.379,5.04,No
41,20.3,0.278,0.489,0.351,5.51,No
31,14.5,0.333,0.495,0.419,7.33,No
