p_game,p_strikeout,batting_avg,slg_percent,on_base_percent,p_era,winning?
41,40,0.269,0.483,0.327,5.06,No
5,20,0.34,0.702,0.39,7.25,No
5,19,0.295,0.534,0.386,7.4,No
39,45,0.32,0.526,0.367,5.87,No
34,48,0.176,0.286,0.298,2.94,No
6,28,0.32,0.49,0.378,9.26,No
6,38,0.183,0.303,0.31,3.07,No
7,32,0.216,0.457,0.311,4.99,No
7,19,0.292,0.504,0.362,5.86,No
7,28,0.247,0.505,0.392,5.81,No
72,51,0.234,0.31,0.294,2.26,No
8,21,0.246,0.405,0.376,4.54,No
8,32,0.318,0.447,0.403,5.03,No
9,32,0.286,0.422,0.343,6.57,No
9,31,0.253,0.406,0.301,4.23,No
62,104,0.176,0.339,0.25,3.06,No
9,39,0.28,0.589,0.352,5.77,No
9,26,0.319,0.534,0.366,5.87,No
57,45,0.212,0.374,0.306,3.2,No
9,25,0.2,0.343,0.268,3.15,No
9,29,0.336,0.586,0.422,11.27,No
9,11,0.298,0.535,0.357,7.16,No
9,37,0.202,0.295,0.31,4.17,No
71,64,0.186,0.273,0.248,1.83,No
66,60,0.238,0.404,0.305,4.67,No
10,28,0.231,0.462,0.303,2.8,No
52,47,0.294,0.389,0.343,4.66,No
10,24,0.281,0.6,0.348,6.64,No
11,53,0.265,0.529,0.316,4.18,No
11,39,0.281,0.519,0.378,5.61,No
11,49,0.201,0.332,0.321,3.75,No
69,77,0.182,0.277,0.299,2.57,No
42,92,0.247,0.424,0.32,4.66,No
58,65,0.232,0.362,0.302,4.78,No
12,50,0.272,0.502,0.325,6.04,No
12,25,0.296,0.535,0.369,5.6,No
12,20,0.221,0.365,0.349,4.97,No
72,76,0.228,0.398,0.337,4.43,No
48,62,0.228,0.4,0.272,3.7,No
62,60,0.23,0.408,0.287,4.21,No
13,19,0.309,0.543,0.411,8.74,No
13,35,0.307,0.474,0.364,4.61,No
69,86,0.153,0.233,0.266,2.22,No
13,47,0.292,0.588,0.363,7.55,No
14,35,0.268,0.521,0.344,6.75,No
14,29,0.277,0.462,0.332,4.93,No
38,42,0.238,0.459,0.377,7.39,No
14,20,0.266,0.468,0.384,5.92,No
14,37,0.291,0.518,0.356,6.26,No
63,61,0.249,0.449,0.349,6.04,No
14,51,0.251,0.412,0.361,4.91,No
14,15,0.348,0.494,0.417,9.3,No
14,27,0.31,0.554,0.346,7.64,No
40,40,0.293,0.486,0.378,4.75,No
15,67,0.255,0.397,0.318,3.89,No
15,18,0.364,0.784,0.431,9.9,No
15,69,0.255,0.454,0.341,5.54,No
40,30,0.226,0.376,0.325,3.53,No
67,80,0.265,0.431,0.368,5.21,No
16,40,0.297,0.537,0.363,8.06,No
16,57,0.246,0.39,0.342,6.23,No
