p_game,p_total_hits,p_home_run,p_strikeout,p_walk,p_k_percent,p_bb_percent,batting_avg,slg_percent,on_base_percent,p_earned_run,p_era,p_rbi,p_called_strike,p_unearned_run,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,meatball_percent,pitch_hand,n_fastball_formatted,fastball_avg_speed,winning?
32,168,21,174,50,21,6,0.22,0.352,0.274,70,3.05,66,664,2,88.2,10,34.3,6.2,35.6,7.8,R,59.7,87.5,No
30,164,30,120,36,17.2,5.2,0.252,0.434,0.29,79,4.16,78,452,3,88.3,10.6,35.3,6.5,35.4,6.7,R,45.9,89,No
38,65,9,52,22,18.8,7.9,0.259,0.446,0.321,34,4.68,33,162,1,90.2,13.8,38.8,10.9,43.8,7.2,R,45.1,93.4,No
78,69,12,37,12,11.8,3.8,0.233,0.395,0.262,34,3.92,45,155,1,86.5,19.7,33.1,8.4,30,6.2,R,68.7,86.5,Yes
29,45,7,22,8,15.6,5.7,0.344,0.58,0.383,21,6.37,23,94,2,91.7,3.1,33.6,7.3,48.2,6.3,R,75.1,92,Yes
69,36,4,86,36,30.9,12.9,0.153,0.233,0.266,17,2.22,22,176,4,84,19.8,30.1,4.6,26.1,8.4,R,84.5,92.9,No
30,23,0,36,11,27.1,8.3,0.192,0.267,0.256,8,2.14,12,111,1,90.9,10.4,29.1,5.8,41.9,8.3,R,79.7,90.1,Yes
53,44,10,62,20,27.1,8.7,0.222,0.449,0.314,27,4.64,32,167,1,88.3,15.3,30.2,12.2,37.4,7.1,L,88.1,88.9,Yes
16,74,8,82,33,24,9.7,0.247,0.375,0.328,34,3.83,33,224,3,86.9,13.9,34.8,6.8,34.4,7.2,R,56.9,89.2,Yes
32,137,21,150,55,22.7,8.3,0.235,0.402,0.315,68,3.86,65,512,2,88.3,18,37,8.9,34.8,8.7,L,52.5,87.7,No
56,50,7,53,23,23.8,10.3,0.258,0.454,0.336,25,4.53,34,117,2,90.9,26.4,41.4,6.9,42.1,9,L,81.1,93.1,Yes
41,67,6,61,46,19.9,15,0.262,0.379,0.378,44,6.06,47,190,1,86.7,11,31.5,4.6,35.5,5.6,R,56,92.8,Yes
33,136,16,216,58,28.6,7.7,0.203,0.309,0.279,69,3.34,70,556,8,88.1,7.7,29.9,4.9,32.5,7.8,R,58,94.1,No
40,44,8,38,19,20,10,0.27,0.454,0.342,32,6.75,28,98,1,90.4,17.1,42.7,9.2,46.6,7.5,R,78.8,90.9,No
28,159,25,91,55,14.5,8.8,0.285,0.478,0.346,74,4.71,76,349,10,88.3,10.4,33.5,7.7,37.2,5.9,L,73.4,87.6,Yes
55,45,12,62,17,27.2,7.5,0.216,0.418,0.281,20,3.2,23,131,1,90.8,26.7,35.4,8.8,44.9,8.5,R,86,93.7,Yes
40,41,5,40,16,24.4,9.8,0.293,0.486,0.378,19,4.75,19,131,0,86.3,10.1,31.1,8.7,36.9,8.1,L,35.3,88.4,No
62,40,4,44,18,19.6,8,0.193,0.285,0.258,25,3.92,17,135,1,86,10.5,31.9,6.1,30.1,6.2,L,42.6,92.4,Yes
