@relation 'ML_Quarter_1_Labeled-weka.filters.unsupervised.attribute.Remove-R1-3,5-15,18-24'

@attribute p_strikeout numeric
@attribute exit_velocity_avg numeric
@attribute launch_angle_avg numeric
@attribute p_win numeric
@attribute p_loss numeric
@attribute winning? {No,Yes}

@data
174,88.2,10,17,7,No
120,88.3,10.6,11,6,No
52,90.2,13.8,2,2,No
37,86.5,19.7,8,3,Yes
22,91.7,3.1,2,1,Yes
86,84,19.8,4,4,No
36,90.9,10.4,3,2,Yes
62,88.3,15.3,3,1,Yes
82,86.9,13.9,5,3,Yes
150,88.3,18,7,8,No
53,90.9,26.4,3,1,Yes
61,86.7,11,5,2,Yes
216,88.1,7.7,14,6,No
38,90.4,17.1,0,3,No
91,88.3,10.4,7,6,Yes
62,90.8,26.7,3,1,Yes
40,86.3,10.1,0,0,No
44,86,10.5,7,4,Yes
80,88.6,12.7,7,8,No
29,87.8,16.7,0,2,No
37,86.7,16.6,2,1,Yes
236,87.9,19.3,15,4,No
59,86.7,-0.8,4,3,Yes
83,90.9,9.1,5,14,Yes
33,91.2,8,2,4,No
58,86.8,8.3,5,2,Yes
98,88.4,14.1,7,7,No
122,90.2,16.4,10,8,No
29,86.9,16,1,1,No
176,87.7,16,11,6,No
37,89.1,18.1,4,0,Yes
58,90.9,20.5,3,2,Yes
21,88.1,23.5,1,1,No
40,88.3,18.2,1,4,No
47,86.4,9.9,3,2,Yes
50,89,10.4,1,5,No
34,89.8,8.7,1,1,No
58,90.9,3,4,9,No
78,86.6,15.2,4,2,Yes
144,88.1,9.8,10,8,No
125,85.7,8,12,7,No
60,84.9,17.4,1,1,No
83,88.4,8.3,6,3,Yes
45,89.9,8.2,2,2,No
71,86.1,11.8,7,3,Yes
62,85.6,22,4,1,Yes
85,90.6,12.7,0,3,No
88,91.2,15.3,9,8,Yes
42,86.4,8.3,5,2,Yes
34,87.9,9.5,4,4,No
149,88.5,16.5,8,12,Yes
155,88.8,7.4,10,9,No
98,88.9,3,8,3,Yes
92,89.6,17.4,5,5,No
83,88.3,19.2,5,4,Yes
32,88.3,6.9,1,5,No
30,88.1,12.2,1,1,No
35,85,13.5,2,4,No
51,89.1,11.2,3,2,Yes
58,89.1,8.7,4,5,No
39,87.4,13.9,2,3,No
199,88.2,16.6,8,11,Yes
58,90.6,4.4,4,4,No
124,88.8,18.5,7,10,Yes
64,84.9,9.7,0,2,No
83,90,16.6,3,3,No
65,89.5,17.7,4,3,Yes
95,89.5,13.3,6,14,Yes
53,88.8,12.1,3,5,No
130,89,12.9,7,11,Yes
100,90.2,19.2,4,5,No
21,90.8,-0.1,4,1,Yes
63,89.5,16,2,4,No
44,84.5,20.7,1,2,No
30,89.6,7.4,1,0,Yes
81,90.2,6.6,5,3,Yes
52,84.6,5.7,5,1,Yes
87,88.7,20.7,3,7,No
58,86.9,20.3,3,2,Yes
25,93.1,7.8,1,2,No
113,89.8,19.4,8,3,Yes
50,85.5,-0.1,2,0,Yes
97,88.6,10.2,7,8,No
29,87.9,13.2,2,2,No
40,89.1,12.2,3,8,No
20,89.5,19.1,1,1,No
62,87.1,14,4,4,No
134,87,18.2,7,11,Yes
50,91.3,12.2,2,3,No
44,90.6,19.4,1,0,Yes
58,88.8,10.7,3,9,No
44,88.1,-5.3,3,2,Yes
33,88.9,14.3,1,2,No
38,90.2,6.1,1,3,No
243,88.7,12.5,16,8,No
33,90,10.4,3,2,Yes
152,88.9,11.6,13,7,No
195,88,12.8,11,9,No
155,86.6,8.8,7,9,No
61,88.2,14.4,6,7,No
131,86.3,11.1,14,7,No
75,90.5,19.9,5,3,Yes
146,89.9,15.3,10,13,No
83,88.6,17.4,7,3,Yes
74,86.7,15.6,6,1,Yes
20,89,14.9,0,2,No
91,89.7,17.2,6,7,No
71,88.8,8.4,6,7,No
72,88.1,4.9,9,4,Yes
137,89.9,19.1,8,5,Yes
32,87.4,24.6,2,0,Yes
32,91.5,18.8,2,3,No
21,88.8,10.5,1,2,No
80,88,9.2,7,7,No
143,89.6,9.8,14,10,Yes
97,88,12.1,6,4,Yes
65,83,10.3,2,3,No
94,90,17.2,5,7,No
77,88.9,5,9,3,Yes
60,89.4,15.2,4,9,No
247,84.6,8.4,14,10,Yes
77,89.7,15.8,0,4,No
47,87.3,1,2,3,No
35,88.3,5,2,0,Yes
67,90.8,8.2,4,8,No
76,91.1,11.9,3,5,No
54,86.9,8.5,5,2,Yes
67,87.8,17.1,3,8,No
75,91.5,15.9,3,2,Yes
143,89.4,9,9,16,Yes
37,91.2,14.7,0,0,No
62,85.8,8.8,6,6,No
54,85.7,16.1,4,3,Yes
21,89.3,11.7,0,2,No
150,89.3,18.5,8,9,No
57,88.1,9.1,6,0,Yes
144,87.8,9.6,14,7,No
31,87.7,9.8,2,3,No
115,91.1,10.6,7,8,No
19,84.1,25.5,0,1,No
28,91.1,15.5,1,1,No
74,87.3,14.7,0,2,No
24,89.7,20.8,0,1,No
77,89.1,17.4,3,4,No
95,88.3,4.9,9,9,No
38,86.6,7.7,0,3,No
59,87.7,5.9,2,4,No
158,89.1,6.3,10,13,No
77,88.4,20.8,7,0,Yes
43,89.5,6,2,1,Yes
163,91.9,7.9,7,9,No
23,87.9,18.3,0,0,No
30,88,6.2,1,2,No
17,90.5,15.1,0,4,No
97,89.8,16.1,2,12,Yes
