@relation ML_Quarter_1_Labeled_SelfSelected-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.0-no-replacement-V

@attribute p_k_percent numeric
@attribute p_bb_percent numeric
@attribute batting_avg numeric
@attribute slg_percent numeric
@attribute on_base_percent numeric
@attribute hard_hit_percent numeric
@attribute winning? {No,Yes}

@data
24,10.1,0.255,0.454,0.341,42.9,No
17.2,5.2,0.252,0.434,0.29,35.4,No
18.8,7.9,0.259,0.446,0.321,43.8,No
23.6,13.4,0.248,0.436,0.358,39.8,No
19,8.6,0.34,0.702,0.39,34.2,No
28.6,7.7,0.203,0.309,0.279,32.5,No
20,10,0.27,0.454,0.342,46.6,No
24.4,9.8,0.293,0.486,0.378,36.9,No
26.3,11.8,0.265,0.431,0.368,39.8,No
13.1,7.7,0.283,0.48,0.348,36.8,No
18,7.5,0.279,0.497,0.334,43.6,No
18.2,3.3,0.29,0.402,0.32,43.2,No
20,6.1,0.285,0.465,0.329,38,No
18.2,7.2,0.288,0.511,0.34,41.8,No
19.5,10.7,0.244,0.435,0.329,36.3,No
21.1,17.7,0.282,0.47,0.415,42,No
18.9,9.9,0.232,0.4,0.324,38.2,No
25.2,7.5,0.269,0.483,0.327,38.7,No
18.8,13,0.336,0.586,0.422,52.4,No
25.2,5.9,0.202,0.298,0.252,45.7,No
14.2,6.8,0.276,0.439,0.323,47,No
29.5,4.3,0.224,0.374,0.26,37.3,No
18.1,7.2,0.265,0.408,0.317,34.2,No
11.1,13,0.29,0.419,0.389,40.7,No
16.7,5.7,0.248,0.437,0.298,43.4,No
28.6,11.8,0.286,0.483,0.37,45.5,No
16.7,7.7,0.291,0.518,0.356,45.1,No
20.6,8.5,0.234,0.363,0.305,38.9,No
20.2,5.5,0.256,0.46,0.295,43.3,No
19.3,8.4,0.286,0.422,0.343,40.3,No
25.6,9.4,0.257,0.39,0.325,38.2,No
30.7,10.5,0.188,0.396,0.289,29.7,No
25.2,7.2,0.32,0.49,0.378,37,No
19.5,13.8,0.221,0.356,0.333,32.1,No
20,7.9,0.264,0.411,0.328,41.5,No
20.8,13.3,0.238,0.316,0.351,32.7,No
31.7,13,0.211,0.39,0.324,39.7,No
13,7.3,0.304,0.494,0.352,45.9,No
29.5,14.7,0.183,0.303,0.31,39.4,No
22.5,6.4,0.28,0.431,0.326,44.9,No
37.9,11.2,0.143,0.184,0.267,30.9,No
30.7,9.9,0.198,0.403,0.29,41.1,No
17.7,12.8,0.251,0.412,0.361,35.6,No
19.1,7.1,0.296,0.481,0.356,42.2,No
14.8,7.7,0.277,0.462,0.332,34.2,No
14.1,9.5,0.297,0.537,0.363,40.4,No
21.4,10.1,0.318,0.491,0.384,42.7,No
23.4,11.7,0.226,0.345,0.325,32.1,No
22.5,5.9,0.323,0.488,0.369,45.2,No
19,12.4,0.311,0.476,0.397,42.7,No
23.7,12.9,0.254,0.449,0.353,35.6,No
26.2,14.5,0.217,0.317,0.352,43.9,No
33.5,5.6,0.223,0.372,0.267,38.6,No
24.1,9.9,0.259,0.42,0.346,52.9,No
25.5,4.6,0.253,0.402,0.293,36.4,No
27,8.7,0.225,0.385,0.301,32.1,No
21.9,9.4,0.235,0.408,0.317,37.3,No
26.1,7.1,0.255,0.467,0.309,42,No
19.6,7.7,0.291,0.492,0.347,44.9,No
16.3,10.6,0.302,0.5,0.382,40.9,No
20.6,7.7,0.243,0.429,0.304,39.3,No
22.8,16.5,0.177,0.315,0.31,31.3,No
28.3,11.7,0.213,0.289,0.304,39.4,No
16.8,11.2,0.241,0.343,0.328,44.2,No
17.7,8.6,0.242,0.373,0.312,35.9,No
14.3,6.8,0.29,0.505,0.335,43.2,No
21.8,7,0.251,0.489,0.304,40.3,No
25.3,7.6,0.23,0.408,0.287,37.2,No
29.2,14,0.182,0.277,0.299,37.8,No
22.7,8.7,0.294,0.389,0.343,35.8,No
14.7,9.2,0.292,0.475,0.362,47.8,No
25.6,12.5,0.228,0.398,0.337,47.5,No
19.9,6.8,0.255,0.397,0.318,36.3,No
14.5,6.9,0.268,0.407,0.321,35,No
23,9.3,0.217,0.287,0.289,32.8,No
18.1,7.8,0.283,0.491,0.345,43.5,No
26.9,7.3,0.256,0.487,0.317,40.8,No
22.3,6.6,0.265,0.405,0.32,37.9,No
16.7,5.9,0.253,0.406,0.301,37.3,No
22.5,18,0.233,0.444,0.369,42.4,No
29.5,11.1,0.217,0.401,0.326,37.7,No
14.9,5.9,0.28,0.44,0.324,41.9,No
30.8,7.9,0.164,0.272,0.242,35,No
21.2,12.4,0.263,0.505,0.381,40.8,No
31.6,11.1,0.22,0.369,0.307,35.3,No
13.2,8.2,0.29,0.472,0.354,39.5,No
21.5,9.6,0.292,0.448,0.356,36.4,No
27.3,7.2,0.252,0.389,0.308,45.7,No
21.6,6,0.242,0.362,0.29,42,No
24.9,8.6,0.215,0.356,0.279,37.4,No
19.8,14.7,0.278,0.485,0.379,42.1,No
20.3,10.1,0.278,0.489,0.351,40.8,No
14.5,10.3,0.333,0.495,0.419,45.2,No
29.3,6.5,0.21,0.345,0.263,40.9,No
12.5,6.3,0.311,0.538,0.359,45,No
34.2,9.9,0.207,0.419,0.292,41,No
26.8,11.1,0.198,0.317,0.291,41.3,No
17.3,10.6,0.295,0.614,0.373,39.8,No
32.1,6.7,0.21,0.401,0.266,43.1,No
19.3,5.5,0.231,0.462,0.303,43.3,No
15.9,8.3,0.2,0.343,0.268,33.9,No
19.1,11.9,0.212,0.374,0.306,30.4,No
24.8,12.6,0.217,0.401,0.324,29.1,No
21.4,7.5,0.269,0.48,0.322,39,No
20.5,10.6,0.248,0.444,0.336,39.6,No
24.2,11.8,0.251,0.525,0.345,43.4,No
29,14,0.205,0.253,0.32,30.9,No
23.9,6.6,0.234,0.426,0.288,39.2,No
15.7,9.9,0.246,0.39,0.342,42.5,No
26.6,7.3,0.232,0.372,0.293,42.3,No
23.8,10.9,0.233,0.437,0.331,35,No
23.2,7.9,0.266,0.521,0.337,43.3,No
27.4,7,0.277,0.437,0.327,33.6,No
28.6,8.3,0.25,0.43,0.317,41.8,No
26.4,7.9,0.232,0.393,0.294,38.7,No
15.2,13.9,0.252,0.465,0.373,37.4,No
26.1,7,0.343,0.619,0.391,47.9,No
12.5,9.6,0.333,0.722,0.413,47.4,No
21.1,15.8,0.213,0.373,0.374,25.2,No
24.4,7.1,0.279,0.461,0.327,43.5,No
19.3,6.7,0.234,0.418,0.297,40,No
19.7,8.5,0.245,0.415,0.316,41,No
26,12.2,0.209,0.309,0.314,34.8,No
23.2,8.4,0.232,0.42,0.299,33.8,No
19.7,8.2,0.178,0.287,0.259,28.2,No
19.5,9.7,0.226,0.376,0.325,36.5,No
25,6.1,0.218,0.348,0.278,33.2,No
17,15.2,0.309,0.543,0.411,36.8,No
21.2,8.6,0.253,0.491,0.325,38.5,No
13.5,7.3,0.281,0.6,0.348,49.6,No
23.9,10.3,0.235,0.431,0.316,35.5,No
20.1,6.1,0.344,0.613,0.38,38.2,No
17.6,10.8,0.364,0.784,0.431,50,No
34,12.1,0.176,0.286,0.298,27.8,No
