@relation ML_Quarter_1_Labeled_WrapperSubsetEval-Train

@attribute p_home_run numeric
@attribute p_strikeout numeric
@attribute p_walk numeric
@attribute batting_avg numeric
@attribute slg_percent numeric
@attribute p_era numeric
@attribute winning? {No,Yes}

@data
11,69,29,0.255,0.454,5.54,No
30,120,36,0.252,0.434,4.16,No
9,52,22,0.259,0.446,4.68,No
12,79,45,0.248,0.436,4.56,No
5,20,9,0.34,0.702,7.25,No
16,216,58,0.203,0.309,3.34,No
8,38,19,0.27,0.454,6.75,No
5,40,16,0.293,0.486,4.75,No
8,80,36,0.265,0.431,5.21,No
8,29,17,0.283,0.48,4.41,No
20,72,30,0.279,0.497,5.32,No
4,33,6,0.29,0.402,3.95,No
15,98,30,0.285,0.465,4.08,No
30,122,48,0.288,0.511,5.79,No
6,29,16,0.244,0.435,5.29,No
4,31,26,0.282,0.47,8.8,No
3,21,11,0.232,0.4,3.2,No
6,40,12,0.269,0.483,5.06,No
7,29,20,0.336,0.586,11.27,No
2,34,8,0.202,0.298,3.24,No
11,58,28,0.276,0.439,4.22,No
15,144,21,0.224,0.374,3.55,No
17,125,50,0.265,0.408,3.37,No
3,12,14,0.29,0.419,6.35,No
23,100,34,0.248,0.437,4.67,No
12,85,35,0.286,0.483,6.43,No
12,37,17,0.291,0.518,6.26,No
17,155,64,0.234,0.363,3.71,No
19,92,25,0.256,0.46,4.27,No
4,32,14,0.286,0.422,6.57,No
2,30,11,0.257,0.39,3.42,No
6,35,12,0.188,0.396,3.9,No
2,28,8,0.32,0.49,9.26,No
4,24,17,0.221,0.356,5.79,No
8,58,23,0.264,0.411,4.15,No
2,64,41,0.238,0.316,3.42,No
10,83,34,0.211,0.39,3.86,No
13,50,28,0.304,0.494,4.9,No
4,38,19,0.183,0.303,3.07,No
7,53,15,0.28,0.431,4.61,No
0,44,13,0.143,0.184,1.86,No
11,87,28,0.198,0.403,3.44,No
8,51,37,0.251,0.412,4.91,No
19,97,36,0.296,0.481,4.74,No
7,29,15,0.277,0.462,4.93,No
15,40,27,0.297,0.537,8.06,No
10,68,32,0.318,0.491,6.68,No
6,62,31,0.226,0.345,3.65,No
7,50,13,0.323,0.488,5.21,No
4,23,15,0.311,0.476,4.01,No
5,33,18,0.254,0.449,6.3,No
2,38,21,0.217,0.317,5.63,No
24,243,41,0.223,0.372,3.23,No
5,39,16,0.259,0.42,4.04,No
15,195,35,0.253,0.402,3.75,No
19,155,50,0.225,0.385,4.19,No
9,61,26,0.235,0.408,3.9,No
19,99,27,0.255,0.467,4.52,No
14,56,22,0.291,0.492,5.04,No
4,20,13,0.302,0.5,4.39,No
16,91,34,0.243,0.429,4.21,No
3,36,26,0.177,0.315,4,No
2,65,27,0.213,0.289,2.82,No
2,21,14,0.241,0.343,5.59,No
12,80,39,0.242,0.373,3.46,No
15,46,22,0.29,0.505,5.35,No
23,94,30,0.251,0.489,4.8,No
8,60,18,0.23,0.408,4.21,No
3,77,37,0.182,0.277,2.57,No
4,47,18,0.294,0.389,4.66,No
14,67,42,0.292,0.475,5.81,No
8,76,37,0.228,0.398,4.43,No
9,67,23,0.255,0.397,3.89,No
11,65,31,0.268,0.407,5.09,No
2,62,25,0.217,0.287,2.81,No
5,21,9,0.283,0.491,6.41,No
29,150,41,0.256,0.487,5.83,No
18,144,43,0.265,0.405,3.82,No
6,31,11,0.253,0.406,4.23,No
5,25,20,0.233,0.444,6.38,No
7,56,21,0.217,0.401,2.91,No
5,28,11,0.28,0.44,5.4,No
4,74,19,0.164,0.272,2.79,No
